regen_type,count,percentage,age,re_image_time,cut_type,genetics,col_name
none,4,0.19047619,L2,12hr,axon,wild-type,wt axon
not to ring,6,0.285714286,L2,12hr,axon,wild-type,wt axon
to ring,4,0.19047619,L2,12hr,axon,wild-type,wt axon
along ring,5,0.238095238,L2,12hr,axon,wild-type,wt axon
full length,2,0.095238095,L2,12hr,axon,wild-type,wt axon
none,0,0,L2,24hr,axon,wild-type,wt axon
not to ring,0,0,L2,24hr,axon,wild-type,wt axon
to ring,1,0.083333333,L2,24hr,axon,wild-type,wt axon
along ring,8,0.666666667,L2,24hr,axon,wild-type,wt axon
full length,3,0.25,L2,24hr,axon,wild-type,wt axon
none,0,0,L2,12hr,a+d,wild-type,wt a+d
not to ring,0,0,L2,12hr,a+d,wild-type,wt a+d
to ring,1,0.076923077,L2,12hr,a+d,wild-type,wt a+d
along ring,6,0.461538462,L2,12hr,a+d,wild-type,wt a+d
full length,6,0.461538462,L2,12hr,a+d,wild-type,wt a+d
none,0,0,L2,24hr,a+d,wild-type,wt a+d
not to ring,0,0,L2,24hr,a+d,wild-type,wt a+d
to ring,0,0,L2,24hr,a+d,wild-type,wt a+d
along ring,0,0,L2,24hr,a+d,wild-type,wt a+d
full length,15,1,L2,24hr,a+d,wild-type,wt a+d
none,14,0.933333333,L2,12hr,a+d,dlk-1,dlk-1 a+d
not to ring,1,0.066666667,L2,12hr,a+d,dlk-1,dlk-1 a+d
to ring,0,0,L2,12hr,a+d,dlk-1,dlk-1 a+d
along ring,0,0,L2,12hr,a+d,dlk-1,dlk-1 a+d
full length,0,0,L2,12hr,a+d,dlk-1,dlk-1 a+d
none,6,0.375,L2,24hr,a+d,dlk-1,dlk-1 a+d
not to ring,5,0.3125,L2,24hr,a+d,dlk-1,dlk-1 a+d
to ring,2,0.125,L2,24hr,a+d,dlk-1,dlk-1 a+d
along ring,2,0.125,L2,24hr,a+d,dlk-1,dlk-1 a+d
full length,1,0.0625,L2,24hr,a+d,dlk-1,dlk-1 a+d
none,0,0,YA,24hr,axon,wild-type,wt axon
not to ring,6,0.5,YA,24hr,axon,wild-type,wt axon
to ring,2,0.166666667,YA,24hr,axon,wild-type,wt axon
along ring,4,0.333333333,YA,24hr,axon,wild-type,wt axon
full length,0,0,YA,24hr,axon,wild-type,wt axon
none,0,0,YA,24hr,a+d,wild-type,wt a+d
not to ring,0,0,YA,24hr,a+d,wild-type,wt a+d
to ring,0,0,YA,24hr,a+d,wild-type,wt a+d
along ring,8,0.727272727,YA,24hr,a+d,wild-type,wt a+d
full length,3,0.272727273,YA,24hr,a+d,wild-type,wt a+d
none,3,0.272727273,YA,24hr,a+d,dlk-1,dlk-1 a+d
not to ring,8,0.727272727,YA,24hr,a+d,dlk-1,dlk-1 a+d
to ring,0,0,YA,24hr,a+d,dlk-1,dlk-1 a+d
along ring,0,0,YA,24hr,a+d,dlk-1,dlk-1 a+d
full length,0,0,YA,24hr,a+d,dlk-1,dlk-1 a+d
